Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
01/03/2025,TOYT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7110626
12/19/2024,DODG,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979542
12/19/2024,,,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979544
01/03/2025,FORD,PK,,RED,,IL,701 N. Sacramento,(773) 265-7605,7110627
01/14/2025,CHEV,LL,,BLK,EB92250,IL,701 N. Sacramento,(773) 265-7605,7111751
12/19/2024,GENE,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979545
12/12/2024,HOND,4D,,SIL,EW16011,IL,701 N. Sacramento,(773) 265-7605,7108353
01/14/2025,HOND,2D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2981173
12/12/2024,HYUN,4D,,SIL,EP12908,IL,701 N. Sacramento,(773) 265-7605,7108352
01/03/2025,HOND,4D,,GLD,,IL,701 N. Sacramento,(773) 265-7605,7110628
12/08/2024,FORD,LL,,GRY,EY74477,IL,10300 S. Doty,(773) 568-8495,2978816
11/27/2024,JEEP,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2978018
11/26/2024,JEEP,LL,,BLK,011242A1,IN,10300 S. Doty,(773) 568-8495,2977935
12/10/2024,SUBA,4D,,WHI,EN22314,IL,701 N. Sacramento,(773) 265-7605,7108152
01/10/2025,KIA,LL,,GRY,FWC225,IL,10300 S. Doty,(773) 568-8495,2980897
12/12/2024,HOND,4D,,BLU,DT68240,IL,701 N. Sacramento,(773) 265-7605,7108354
12/24/2024,NISS,LL,,GRY,EW63824,IL,701 N. Sacramento,(773) 265-7605,7109864
12/19/2024,,,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979543
11/30/2024,NISS,LL,,RED,DY79584,IL,10300 S. Doty,(773) 568-8495,2978113
11/30/2024,HYUN,HB,,BLU,DZ99677,IL,10300 S. Doty,(773) 568-8495,2978112
12/24/2024,HYUN,4D,,GRY,DK93441,IL,701 N. Sacramento,(773) 265-7605,7109866
12/10/2024,NISS,4D,,GRY,EE32243,IL,10300 S. Doty,(773) 568-8495,2978960
01/14/2025,HYUN,4D,,BLK,FC13861,IL,701 N. Sacramento,(773) 265-7605,7111752
11/27/2024,HYUN,4D,,GRY,EK22759,IL,10300 S. Doty,(773) 568-8495,2978017
01/16/2025,NISS,4D,,MAR,ET76881,IL,10300 S. Doty,(773) 568-8495,2981232
12/08/2024,VOLK,4D,,WHI,ED95511,IL,400 E. Lower Wacker,(312) 744-7550,0331736
